forecast_time,city,temp,humidity,condition
2026-08-17 03:00:00,Bengaluru,21.74,87,Clouds
2026-08-17 06:00:00,Bengaluru,24.72,69,Clouds
2026-08-17 09:00:00,Bengaluru,28.13,40,Clouds
2026-08-17 12:00:00,Bengaluru,27.4,48,Clouds
2026-08-17 15:00:00,Bengaluru,25.9,63,Rain
2026-08-17 18:00:00,Bengaluru,21.39,72,Clouds
2026-08-17 21:00:00,Bengaluru,19.8,74,Clouds
2026-08-18 00:00:00,Bengaluru,19.05,79,Clouds
2026-08-18 03:00:00,Bengaluru,24.39,70,Clouds
2026-08-18 06:00:00,Bengaluru,27.15,49,Clouds
2026-08-18 09:00:00,Bengaluru,28.2,40,Clouds
2026-08-18 12:00:00,Bengaluru,28.43,49,Rain
2026-08-18 15:00:00,Bengaluru,26.08,54,Clouds
2026-08-18 18:00:00,Bengaluru,22.69,72,Clouds
2026-08-18 21:00:00,Bengaluru,21.02,81,Clouds
2026-08-19 00:00:00,Bengaluru,20.14,85,Clouds
2026-08-19 03:00:00,Bengaluru,22.69,71,Clouds
2026-08-19 06:00:00,Bengaluru,26.88,53,Clouds
2026-08-19 09:00:00,Bengaluru,27.56,50,Rain
2026-08-19 12:00:00,Bengaluru,23.43,65,Rain
2026-08-19 15:00:00,Bengaluru,22.13,70,Clouds
2026-08-19 18:00:00,Bengaluru,21.53,75,Clouds
2026-08-19 21:00:00,Bengaluru,20.92,78,Clouds
2026-08-20 00:00:00,Bengaluru,20.43,80,Clouds
2026-08-20 03:00:00,Bengaluru,22.75,68,Clouds
2026-08-20 06:00:00,Bengaluru,27.13,50,Clouds
2026-08-20 09:00:00,Bengaluru,27.33,47,Clouds
2026-08-20 12:00:00,Bengaluru,27.16,49,Clouds
2026-08-20 15:00:00,Bengaluru,25.02,58,Clouds
2026-08-20 18:00:00,Bengaluru,22.42,71,Clouds
2026-08-20 21:00:00,Bengaluru,20.65,79,Clouds
2026-08-21 00:00:00,Bengaluru,19.53,82,Clouds
2026-08-21 03:00:00,Bengaluru,22.44,68,Clouds
2026-08-21 06:00:00,Bengaluru,27.64,47,Clouds
2026-08-21 09:00:00,Bengaluru,30.42,37,Clouds
